PLAYER_NAME,BBR_PLAYER_ID,TEAM_ABBREVIATION,DWS,DBPM,DRB_PCT,STL_PCT,BLK_PCT
Josh Minott,minotjo01,BOS,0.8,1.4,16.0,2.3,2.3
Ariel Hukporti,hukpoar01,NYK,0.8,1.4,23.2,0.9,5.3
Jonathan Isaac,isaacjo01,ORL,0.8,1.3,19.3,1.8,5.4
Jamaree Bouyea,bouyeja01,PHO,0.8,1.1,11.4,2.2,2.4
Grant Williams,willigr01,CHO,0.8,1.0,15.0,1.2,2.3
Ayo Dosunmu,dosunay01,MIN,0.8,0.8,13.5,1.7,0.7
Tyus Jones,jonesty01,3TM,0.8,0.5,7.2,1.8,0.3
T.J. McConnell,mccontj01,IND,0.8,0.4,11.8,2.8,0.9
Isaiah Jackson,jacksis01,IND,0.8,0.4,21.8,1.9,3.9
Jevon Carter,carteje01,2TM,0.8,0.4,9.6,2.2,1.0
Tidjane Salaün,salauti01,CHO,0.8,0.4,23.7,1.4,1.1
Trendon Watford,watfotr01,PHI,0.8,0.2,17.5,0.9,2.4
Tyler Kolek,kolekty01,NYK,0.8,0.2,12.7,1.5,0.6
Kevin Huerter,huertke01,CHI,0.8,0.1,14.8,1.6,2.2
Buddy Hield,hieldbu01,GSW,0.8,0.0,12.1,2.3,1.1
Buddy Hield,hieldbu01,2TM,0.8,-0.1,12.3,2.3,1.0
James Harden,hardeja01,CLE,0.8,-0.4,13.8,1.2,1.3
Bilal Coulibaly,coulibi01,WAS,0.8,-0.4,14.5,2.4,3.2
Ochai Agbaji,agbajoc01,2TM,0.8,-0.5,11.5,1.2,1.7
Jabari Walker,walkeja01,PHI,0.8,-0.6,17.4,1.5,1.6
Rasheer Fleming,flemira01,PHO,0.8,-0.7,11.4,1.6,3.0
Christian Braun,braunch01,DEN,0.8,-0.9,11.5,1.0,0.8
Taylor Hendricks,hendrta01,2TM,0.8,-0.9,15.4,2.1,2.5
Justin Champagnie,champju01,WAS,0.8,-1.0,19.0,2.0,2.7
Marvin Bagley III,baglema01,2TM,0.8,-1.0,19.3,1.1,3.1
Nick Richards,richani01,2TM,0.8,-1.2,25.6,0.7,4.1
Caleb Love,loveca01,POR,0.8,-1.6,9.7,1.3,0.4
Jose Alvarado,alvarjo01,NYK,0.7,1.8,11.1,3.0,0.9
Tyus Jones,jonesty01,ORL,0.7,1.1,6.6,2.1,0.4
Jeremy Sochan,sochaje01,2TM,0.7,1.1,16.0,1.8,1.4
Jevon Carter,carteje01,ORL,0.7,0.6,9.9,2.1,1.2
Trayce Jackson-Davis,jackstr02,2TM,0.7,0.4,18.1,1.7,4.5
Ochai Agbaji,agbajoc01,TOR,0.7,0.1,10.9,1.3,1.6
Jaden Ivey,iveyja01,DET,0.7,0.1,10.5,1.3,2.2
Mohamed Diawara,diawamo01,NYK,0.7,0.1,14.0,1.3,1.0
Zeke Nnaji,nnajize01,DEN,0.7,0.0,17.6,1.3,3.6
Taylor Hendricks,hendrta01,MEM,0.7,-0.2,15.1,2.8,3.2
Aaron Holiday,holidaa01,HOU,0.7,-0.2,6.3,1.7,0.6
Scoot Henderson,hendesc01,POR,0.7,-0.5,9.1,1.7,1.1
Ben Sheppard,sheppbe01,IND,0.7,-0.6,12.2,1.3,0.4
Egor Dёmin,demineg01,BRK,0.7,-0.7,13.5,1.6,1.2
Isaac Okoro,okorois01,CHI,0.7,-0.8,6.4,1.3,1.5
Micah Potter,pottemi01,IND,0.7,-0.8,21.4,1.2,1.4
Tre Mann,manntr01,CHO,0.7,-0.8,11.9,1.9,0.7
Jericho Sims,simsje01,MIL,0.7,-0.9,19.0,0.7,1.3
Bennedict Mathurin,mathube01,LAC,0.7,-1.0,16.9,1.8,1.2
Jared McCain,mccaija01,OKC,0.7,-1.0,8.7,1.2,0.5
Aaron Gordon,gordoaa01,DEN,0.7,-1.2,16.8,1.0,0.9
Olivier-Maxence Prosper,prospol01,MEM,0.7,-1.2,14.3,1.9,1.2
Dennis Schröder,schrode01,2TM,0.7,-1.3,10.5,1.6,0.6
Jaylen Wells,wellsja01,MEM,0.7,-1.4,9.6,1.6,0.5
Ryan Nembhard,nembhry01,DAL,0.7,-1.7,10.8,1.0,0.1
Andrew Nembhard,nembhan01,IND,0.7,-1.9,8.4,1.4,0.4
Coby White,whiteco01,2TM,0.7,-1.9,13.1,0.9,0.4
John Konchar,konchjo01,MEM,0.6,3.5,18.2,3.4,2.7
Myron Gardner,gardnmy01,MIA,0.6,1.9,21.1,2.3,1.7
John Konchar,konchjo01,UTA,0.6,1.4,15.3,3.6,3.6
Kelly Olynyk,olynyke01,SAS,0.6,1.3,15.1,2.0,0.7
Nikola Vučević,vucevni01,BOS,0.6,1.0,25.8,1.0,3.0
Kristaps Porziņģis,porzikr01,ATL,0.6,1.0,17.6,1.0,4.8
Brooks Barnhizer,barnhbr01,OKC,0.6,1.0,17.7,1.5,1.4
Rayan Rupert,ruperra01,POR,0.6,0.8,12.0,2.4,0.3
Dalen Terry,terryda01,2TM,0.6,0.8,11.6,2.5,2.4
Keaton Wallace,wallake01,ATL,0.6,0.3,10.9,2.1,0.8
Khaman Maluach,maluakh01,PHO,0.6,0.0,23.5,0.6,7.7
Dorian Finney-Smith,finnedo01,HOU,0.6,-0.1,10.2,1.3,0.9
Marcus Sasser,sassema01,DET,0.6,-0.2,7.7,2.1,0.9
